 conc & rates @ time:    192.000000000000     
  0.1150000E+02  0.1378547E-02  0.2166567E-04  0.1221470E+00  0.4135216E-03  0.6499070E-05  0.3664031E-01  0.1258029E-01  0.1415615E-03  0.2099975E-05  0.9414239E+00  0.1059290E-01  0.1569606E-03
  0.1200000E+02  0.1042457E-02  0.1650979E-04  0.9234348E-01  0.3127045E-03  0.4952449E-05  0.2770015E-01  0.9659119E-02  0.1087191E-03  0.1625270E-05  0.7237761E+00  0.8146045E-02  0.1216341E-03
  0.1250000E+02  0.7874210E-03  0.1256718E-04  0.6973352E-01  0.2362014E-03  0.3769777E-05  0.2091784E-01  0.7381181E-02  0.8310147E-04  0.1251958E-05  0.5536777E+00  0.6233228E-02  0.9379271E-04
  0.1300000E+02  0.5942695E-03  0.9558125E-05  0.5261437E-01  0.1782619E-03  0.2867149E-05  0.1578262E-01  0.5619792E-02  0.6328744E-04  0.9608773E-06  0.4219120E+00  0.4751072E-02  0.7204539E-04
  0.1350000E+02  0.4482052E-03  0.7264956E-05  0.3967198E-01  0.1344471E-03  0.2179266E-05  0.1190031E-01  0.4266671E-02  0.4806191E-04  0.7354054E-06  0.3205401E+00  0.3610488E-02  0.5517565E-04
  0.1400000E+02  0.3378747E-03  0.5519311E-05  0.2989844E-01  0.1013515E-03  0.1655625E-05  0.8968562E-02  0.3232370E-02  0.3642063E-04  0.5616335E-06  0.2429636E+00  0.2737404E-02  0.4215932E-04
  0.1450000E+02  0.2546080E-03  0.4191593E-05  0.2252426E-01  0.7637413E-04  0.1257349E-05  0.6756546E-02  0.2444777E-02  0.2755372E-04  0.4282218E-06  0.1838378E+00  0.2071794E-02  0.3215728E-04
  0.1500000E+02  0.1918075E-03  0.3182396E-05  0.1696406E-01  0.5753600E-04  0.9546209E-06  0.5088664E-02  0.1846782E-02  0.2081954E-04  0.3260957E-06  0.1389138E+00  0.1565928E-02  0.2449548E-04
  0.1550000E+02  0.1444663E-03  0.2415679E-05  0.1277369E-01  0.4333516E-04  0.7246293E-06  0.3831688E-02  0.1393738E-02  0.1571634E-04  0.2480919E-06  0.1048610E+00  0.1182373E-02  0.1864030E-04
  0.1600000E+02  0.1087921E-03  0.1833396E-05  0.9616847E-02  0.3263407E-04  0.5499624E-06  0.2884739E-02  0.1051082E-02  0.1185553E-04  0.1886127E-06  0.7909470E-01  0.8920771E-03  0.1417383E-04
  0.1650000E+02  0.8191729E-04  0.1391305E-05  0.7239297E-02  0.2457251E-04  0.4173486E-06  0.2171551E-02  0.7922407E-03  0.8938330E-05  0.1433163E-06  0.5962486E-01  0.6726619E-03  0.1077133E-04
  0.1700000E+02  0.6167570E-04  0.1055723E-05  0.5449045E-02  0.1850069E-04  0.3166841E-06  0.1634534E-02  0.5968990E-03  0.6736195E-05  0.1088539E-06  0.4492789E-01  0.5069907E-03  0.8182038E-05
  0.1750000E+02  0.4643257E-04  0.8010290E-06  0.4101233E-02  0.1392825E-04  0.2402839E-06  0.1230235E-02  0.4495841E-03  0.5075039E-05  0.8265321E-07  0.3384232E-01  0.3819959E-03  0.6213124E-05
  0.1800000E+02  0.3495496E-04  0.6077497E-06  0.3086639E-02  0.1048534E-04  0.1823061E-06  0.9258902E-03  0.3385482E-03  0.3822642E-05  0.6274442E-07  0.2548563E-01  0.2877454E-03  0.4716830E-05
  0.1850000E+02  0.2631345E-04  0.4610890E-06  0.2322953E-02  0.7893173E-05  0.1383124E-06  0.6968093E-03  0.2548909E-03  0.2878803E-05  0.4762281E-07  0.1918883E-01  0.2167086E-03  0.3580214E-05
  0.1900000E+02  0.1980771E-04  0.3498102E-06  0.1748164E-02  0.5941662E-05  0.1049322E-06  0.5243915E-03  0.1918806E-03  0.2167720E-05  0.3614082E-07  0.1444574E-01  0.1631857E-03  0.2717103E-05
  0.1950000E+02  0.1491011E-04  0.2653816E-06  0.1315571E-02  0.4472545E-05  0.7960624E-07  0.3946279E-03  0.1444324E-03  0.1632118E-05  0.2742447E-07  0.1087388E-01  0.1228687E-03  0.2061850E-05
  0.2000000E+02  0.1122330E-04  0.2013270E-06  0.9900089E-03  0.3366621E-05  0.6039186E-07  0.2969700E-03  0.1087091E-03  0.1228761E-05  0.2080877E-07  0.8184538E-02  0.9250508E-04  0.1564491E-05
  0.2050000E+02  0.8448014E-05  0.1527313E-06  0.7450039E-03  0.2534127E-05  0.4581466E-07  0.2234766E-03  0.8181691E-04  0.9250372E-06  0.1578811E-07  0.6159953E-02  0.6964075E-04  0.1187033E-05
  0.2100000E+02  0.6358939E-05  0.1158644E-06  0.5606269E-03  0.1907473E-05  0.3475574E-07  0.1681696E-03  0.6157462E-04  0.6963580E-06  0.1197831E-07  0.4635972E-02  0.5242537E-04  0.9006023E-06
  0.2150000E+02  0.4786430E-05  0.8789604E-07  0.4218774E-03  0.1435772E-05  0.2636609E-07  0.1265493E-03  0.4633901E-04  0.5241941E-06  0.9087563E-08  0.3488906E-02  0.3946432E-04  0.6832636E-06
  0.2200000E+02  0.3602770E-05  0.6667857E-07  0.3174654E-03  0.1080713E-05  0.2000150E-07  0.9522917E-04  0.3487237E-04  0.3945858E-06  0.6894282E-08  0.2625589E-02  0.2970685E-04  0.5183612E-06
  0.2250000E+02  0.2711814E-05  0.5058267E-07  0.2388939E-03  0.8134551E-06  0.1517323E-07  0.7166030E-04  0.2624270E-04  0.2970183E-06  0.5230257E-08  0.1975858E-02  0.2236147E-04  0.3932497E-06
